D:\self-driving-car\recording\IMG\center_2020_12_11_10_42_53_765.jpg, D:\self-driving-car\recording\IMG\left_2020_12_11_10_42_53_765.jpg, D:\self-driving-car\recording\IMG\right_2020_12_11_10_42_53_765.jpg, 0, 0, 0, 8.246164E-05
D:\self-driving-car\recording\IMG\center_2020_12_11_10_42_53_866.jpg, D:\self-driving-car\recording\IMG\left_2020_12_11_10_42_53_866.jpg, D:\self-driving-car\recording\IMG\right_2020_12_11_10_42_53_866.jpg, 0, 0, 0, 7.965145E-05
D:\self-driving-car\recording\IMG\center_2020_12_11_10_42_53_967.jpg, D:\self-driving-car\recording\IMG\left_2020_12_11_10_42_53_967.jpg, D:\self-driving-car\recording\IMG\right_2020_12_11_10_42_53_967.jpg, 0, 0, 0, 8.126506E-05
D:\self-driving-car\recording\IMG\center_2020_12_11_10_42_54_068.jpg, D:\self-driving-car\recording\IMG\left_2020_12_11_10_42_54_068.jpg, D:\self-driving-car\recording\IMG\right_2020_12_11_10_42_54_068.jpg, 0, 0, 0, 7.808574E-05
D:\self-driving-car\recording\IMG\center_2020_12_11_10_42_54_172.jpg, D:\self-driving-car\recording\IMG\left_2020_12_11_10_42_54_172.jpg, D:\self-driving-car\recording\IMG\right_2020_12_11_10_42_54_172.jpg, 0, 0, 0, 8.018382E-05
D:\self-driving-car\recording\IMG\center_2020_12_11_10_42_54_275.jpg, D:\self-driving-car\recording\IMG\left_2020_12_11_10_42_54_275.jpg, D:\self-driving-car\recording\IMG\right_2020_12_11_10_42_54_275.jpg, 0, 0, 0, 8.078711E-05
D:\self-driving-car\recording\IMG\center_2020_12_11_10_42_54_375.jpg, D:\self-driving-car\recording\IMG\left_2020_12_11_10_42_54_375.jpg, D:\self-driving-car\recording\IMG\right_2020_12_11_10_42_54_375.jpg, 0, 0, 0, 8.001787E-05
D:\self-driving-car\recording\IMG\center_2020_12_11_10_42_54_476.jpg, D:\self-driving-car\recording\IMG\left_2020_12_11_10_42_54_476.jpg, D:\self-driving-car\recording\IMG\right_2020_12_11_10_42_54_476.jpg, 0, 0.0180804, 0, 0.01996536
D:\self-driving-car\recording\IMG\center_2020_12_11_10_42_54_577.jpg, D:\self-driving-car\recording\IMG\left_2020_12_11_10_42_54_577.jpg, D:\self-driving-car\recording\IMG\right_2020_12_11_10_42_54_577.jpg, 0, 0.3049056, 0, 0.2410528
D:\self-driving-car\recording\IMG\center_2020_12_11_10_42_54_680.jpg, D:\self-driving-car\recording\IMG\left_2020_12_11_10_42_54_680.jpg, D:\self-driving-car\recording\IMG\right_2020_12_11_10_42_54_680.jpg, 0, 0.6649635, 0, 0.9647285
D:\self-driving-car\recording\IMG\center_2020_12_11_10_42_54_784.jpg, D:\self-driving-car\recording\IMG\left_2020_12_11_10_42_54_784.jpg, D:\self-driving-car\recording\IMG\right_2020_12_11_10_42_54_784.jpg, 0, 0.9646882, 0, 1.954643
D:\self-driving-car\recording\IMG\center_2020_12_11_10_42_54_884.jpg, D:\self-driving-car\recording\IMG\left_2020_12_11_10_42_54_884.jpg, D:\self-driving-car\recording\IMG\right_2020_12_11_10_42_54_884.jpg, -0.0746073, 1, 0, 3.13906
D:\self-driving-car\recording\IMG\center_2020_12_11_10_42_54_986.jpg, D:\self-driving-car\recording\IMG\left_2020_12_11_10_42_54_986.jpg, D:\self-driving-car\recording\IMG\right_2020_12_11_10_42_54_986.jpg, -0.3825555, 1, 0, 4.293388
D:\self-driving-car\recording\IMG\center_2020_12_11_10_42_55_089.jpg, D:\self-driving-car\recording\IMG\left_2020_12_11_10_42_55_089.jpg, D:\self-driving-car\recording\IMG\right_2020_12_11_10_42_55_089.jpg, -0.1103559, 1, 0, 5.455556
D:\self-driving-car\recording\IMG\center_2020_12_11_10_42_55_190.jpg, D:\self-driving-car\recording\IMG\left_2020_12_11_10_42_55_190.jpg, D:\self-driving-car\recording\IMG\right_2020_12_11_10_42_55_190.jpg, 0, 1, 0, 6.603433
D:\self-driving-car\recording\IMG\center_2020_12_11_10_42_55_294.jpg, D:\self-driving-car\recording\IMG\left_2020_12_11_10_42_55_294.jpg, D:\self-driving-car\recording\IMG\right_2020_12_11_10_42_55_294.jpg, 0, 1, 0, 7.743839
D:\self-driving-car\recording\IMG\center_2020_12_11_10_42_55_395.jpg, D:\self-driving-car\recording\IMG\left_2020_12_11_10_42_55_395.jpg, D:\self-driving-car\recording\IMG\right_2020_12_11_10_42_55_395.jpg, 0, 1, 0, 8.873275
D:\self-driving-car\recording\IMG\center_2020_12_11_10_42_55_495.jpg, D:\self-driving-car\recording\IMG\left_2020_12_11_10_42_55_495.jpg, D:\self-driving-car\recording\IMG\right_2020_12_11_10_42_55_495.jpg, -0.1501362, 1, 0, 9.986354
D:\self-driving-car\recording\IMG\center_2020_12_11_10_42_55_595.jpg, D:\self-driving-car\recording\IMG\left_2020_12_11_10_42_55_595.jpg, D:\self-driving-car\recording\IMG\right_2020_12_11_10_42_55_595.jpg, -0.373386, 1, 0, 11.04121
D:\self-driving-car\recording\IMG\center_2020_12_11_10_42_55_696.jpg, D:\self-driving-car\recording\IMG\left_2020_12_11_10_42_55_696.jpg, D:\self-driving-car\recording\IMG\right_2020_12_11_10_42_55_696.jpg, -0.08381846, 1, 0, 11.9186
D:\self-driving-car\recording\IMG\center_2020_12_11_10_42_55_798.jpg, D:\self-driving-car\recording\IMG\left_2020_12_11_10_42_55_798.jpg, D:\self-driving-car\recording\IMG\right_2020_12_11_10_42_55_798.jpg, 0, 1, 0, 13.18461
D:\self-driving-car\recording\IMG\center_2020_12_11_10_42_55_898.jpg, D:\self-driving-car\recording\IMG\left_2020_12_11_10_42_55_898.jpg, D:\self-driving-car\recording\IMG\right_2020_12_11_10_42_55_898.jpg, 0, 1, 0, 14.29852
D:\self-driving-car\recording\IMG\center_2020_12_11_10_42_56_002.jpg, D:\self-driving-car\recording\IMG\left_2020_12_11_10_42_56_002.jpg, D:\self-driving-car\recording\IMG\right_2020_12_11_10_42_56_002.jpg, 0, 1, 0, 15.6098
